"a0e4e808-265b-4813-9f0f-8aeec0b86fd5","k8s-csi-pvc-dadba4b3-75ca-46e3-98f9-644a5793f00a","default/xxx"
"fcd9798e-2b4b-4334-b6af-1d9415ad3eda","k8s-csi-pvc-1b049ab6-6e97-4783-ba22-bd7999eaa19e","default/xxx"
"3eeb1633-d099-43fb-8916-b96049457427","k8s-csi-pvc-27c7a1b2-c0e5-4623-bd8a-2b4ea0273632","default/downloads"
"33fc0063-19d9-4b49-8ac4-b3d3aaed2b5b","k8s-csi-pvc-08a62c78-9c1c-434f-87c8-e8a8e82e6367","default/grafana-data"
"822ad0fa-49b7-4338-9c95-cf37752c779d","k8s-csi-pvc-02d1de31-233f-453f-bfe0-9a8cf4891f24","default/grafana-cnpg-main-1-wal"
"3ef8f519-7cfb-45c4-906e-73d0442d391b","k8s-csi-pvc-ed491737-1b73-4b2d-9650-c39ee65989a6","default/grafana-cnpg-main-1"
"662b0537-edc6-4b42-bc76-9de70afb88a6","k8s-csi-pvc-fe036397-7b82-4c0c-b567-11dd967a2cef","default/grafana-cnpg-main-2"
"8a1387af-7f0c-4525-abac-c64cc4378cd5","k8s-csi-pvc-4bcdd7c3-1ce6-40f9-9991-3779496b56ff","default/grafana-cnpg-main-2-wal"
"17bb6614-71e1-48c3-8759-09a3080f82db","k8s-csi-pvc-aebd1801-7eb3-44c8-8823-f8b8a7093b4d","default/whisparr-config"
"8ccb300a-91f9-43b3-8474-b20cb15c0ac4","k8s-csi-pvc-ea4b22fc-a83e-4356-92d9-9b6c9ae56c36","default/immich-data-files-pvc-v2"
"a6b3f0f6-23f7-4e6c-8882-dfcf2e6c9022","k8s-csi-pvc-67e89bc7-77c2-4502-908d-f725ded5d398","default/cluster-authelia-1"
"c61e9acf-671b-48bf-be94-7137ce939b58","k8s-csi-pvc-288a4f81-f22f-44c2-8771-c9da3287f4c5","storage-diag-20260324/diag-synology-iscsi-storage-btrfs"
"55d8bff2-65be-4a85-8ff4-d433ae1334d3","k8s-csi-pvc-538cdb69-1831-4ea9-a09c-c26d56ba811c","storage-diag-20260324/diag-synology-iscsi-storage"
"608be83f-92ae-4654-b149-84024afc9b42","k8s-csi-pvc-b7af2805-d130-4f8b-bb7d-6195a2548300","default/cluster-authelia-ceph-1"
"cb7ade76-90bb-4e54-855d-305e890182b3","k8s-csi-pvc-e54cac10-49cc-4931-a161-9922b69e0704","default/immich-data-files-pvc"
"d3c7a850-74cb-43a2-8766-adc1c6c30471","k8s-csi-pvc-86380f38-4f6a-43a4-a26e-d0e3a68f6348","default/immich-data-files-pvc-v2"
"b57415d7-c75a-4438-adda-c1c6a4866656","k8s-csi-pvc-56e50551-5fce-4181-9b13-1cbd4a318447","default/overseerr-config-ceph"
"4ed4356e-17e8-4137-bd3e-51bdb5930e6e","k8s-csi-pvc-fbd46394-9545-42ef-b068-2fd366df31b2","default/radarr-config-ceph"
"2555ccb4-5252-4702-b53f-eb37479b9836","k8s-csi-pvc-a3d871cb-2777-47ef-baed-cb73da5e8121","default/prowlarr-config-ceph"
"48312c0c-b5a1-44fe-b46c-12cdce9ca2f9","k8s-csi-pvc-86eaa39a-8bf6-4068-bbfb-f1bf5d137ec3","default/cluster-immich-ceph-1"
"869ffc27-91ee-4c90-9a11-4c9b4ba5bab0","k8s-csi-pvc-583db34d-18f7-44d5-b775-54f0e24150f3","default/cluster-authelia-ceph-1"
"8905119c-5a34-4e5c-9822-45952bd66619","k8s-csi-pvc-f54d98cc-86ef-4d02-ba48-9b0c257506ca","default/immich-db-temp"
